second,x_left,y_left,x_right,y_right,obj_score,label_score,label,label_name,foot_x,foot_y
0.0,310.6058,2.8616853,346.94882,111.71295,0.96823823,0.9992124,0.0,person,328.7773,111.71295
1.0,305.6651,35.54024,355.5478,167.11784,0.96298647,0.99680674,0.0,person,330.60645,167.11784
2.0,288.30023,78.77709,381.86896,262.34665,0.97699946,0.9995086,0.0,person,335.0846,262.34665
3.0,287.4977,76.70399,388.2628,266.69846,0.7717726,0.9951905,0.0,person,337.88025,266.69846
4.0,278.30142,36.444088,345.7112,235.09515,0.8901549,0.9994288,0.0,person,312.00632,235.09515
4.0,344.97565,0.6765411,393.7701,63.19237,0.5522979,0.99616194,0.0,person,369.37286,63.19237
5.0,271.45908,19.130613,349.9565,187.28995,0.9896058,0.99991024,0.0,person,310.7078,187.28995
5.0,503.24982,105.94842,611.0777,311.63596,0.82088536,0.9978961,0.0,person,557.16376,311.63596
6.0,296.97458,19.338238,359.59235,177.95955,0.9723231,0.9998776,0.0,person,328.28345,177.95955
7.0,254.73227,57.910576,352.2556,311.78662,0.9918429,0.9957749,0.0,person,303.49396,311.78662
8.0,318.33984,189.32545,513.6783,355.6338,0.95749074,0.9942502,0.0,person,416.00906,355.6338
8.0,263.62784,15.443851,324.64542,189.97032,0.7926402,0.9987571,0.0,person,294.13663,189.97032
9.0,264.3249,20.864746,325.87238,202.06488,0.9858884,0.9999292,0.0,person,295.09863,202.06488
9.0,320.15845,203.14905,541.87476,361.94757,0.9852496,0.998784,0.0,person,431.0166,361.94757
10.0,263.34796,35.556934,324.57672,224.12733,0.9927048,0.9998491,0.0,person,293.96234,224.12733
10.0,319.61935,207.96332,548.3602,361.4303,0.92640334,0.9961772,0.0,person,433.9898,361.4303
11.0,307.63736,202.93167,534.0586,360.74896,0.9619968,0.9969297,0.0,person,420.84796,360.74896
11.0,259.17813,34.198708,361.12756,233.05022,0.9580312,0.99855703,0.0,person,310.15283,233.05022
12.0,277.6015,65.32157,383.0105,247.67128,0.96849436,0.99824774,0.0,person,330.306,247.67128
12.0,316.66965,205.6696,523.0036,361.11945,0.91310275,0.99288905,0.0,person,419.8366,361.11945
13.0,270.90454,65.04052,359.91974,283.89667,0.9832318,0.9981445,0.0,person,315.41214,283.89667
13.0,320.30856,199.2638,535.38763,367.78232,0.9749244,0.99499476,0.0,person,427.84808,367.78232
14.0,330.55676,188.40408,540.82574,363.6838,0.9971398,0.99905795,0.0,person,435.69125,363.6838
14.0,262.27588,86.73347,360.64758,295.66092,0.97733635,0.9971808,0.0,person,311.46173,295.66092
14.0,512.1452,81.285515,617.4235,254.34494,0.81644934,0.99594057,0.0,person,564.78436,254.34494
15.0,333.76276,195.99083,548.79486,363.7516,0.9951316,0.99904007,0.0,person,441.2788,363.7516
15.0,258.90637,74.98629,333.4334,296.23868,0.9775624,0.99894446,0.0,person,296.1699,296.23868
15.0,443.66052,9.809392,506.98758,178.42644,0.9059508,0.99974245,0.0,person,475.32404,178.42644
16.0,327.00873,190.65256,545.2954,361.8733,0.99318093,0.9988562,0.0,person,436.15207,361.8733
